Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS01 - Login,Chrome 69.0.3497.100,,2018-10-24 14:31:42,2018-10-24 14:32:09,26.761s,PASSED
,,,,,,
Test Cases/Login via username/TC01 - Enter uname and pword,Chrome 69.0.3497.100,,2018-10-24 14:31:43,2018-10-24 14:32:07,24.822s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 14:31:43,2018-10-24 14:31:48,5.104s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 14:31:48,2018-10-24 14:32:00,12.010s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 14:32:00,2018-10-24 14:32:01,0.418s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-24 14:32:01,2018-10-24 14:32:01,0.426s,PASSED
click,Chrome 69.0.3497.100,,2018-10-24 14:32:01,2018-10-24 14:32:07,6.194s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-24 14:32:07,2018-10-24 14:32:07,0.003s,NOT_RUN
