Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS01 - Login,Chrome 69.0.3497.100,,2018-10-24 14:31:06,2018-10-24 14:31:31,25.384s,FAILED
,,,,,,
Test Cases/Login via username/TC01 - Enter uname and pword,Chrome 69.0.3497.100,,2018-10-24 14:31:07,2018-10-24 14:31:30,23.432s,FAILED
openBrowser,Chrome 69.0.3497.100,,2018-10-24 14:31:07,2018-10-24 14:31:14,6.377s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-24 14:31:14,2018-10-24 14:31:29,15.431s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-24 14:31:29,2018-10-24 14:31:30,0.968s,FAILED
