Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS02 - Edit Account,Firefox 60.0,,2018-10-24 14:29:04,2018-10-24 14:29:46,42.028s,PASSED
,,,,,,
Test Cases/Edit Account Profile/TC02 - Edit profile,Firefox 60.0,,2018-10-24 14:29:04,2018-10-24 14:29:46,41.339s,PASSED
callTestCase,Firefox 60.0,,2018-10-24 14:29:05,2018-10-24 14:29:30,25.659s,PASSED
click,Firefox 60.0,,2018-10-24 14:29:30,2018-10-24 14:29:31,0.481s,PASSED
click,Firefox 60.0,,2018-10-24 14:29:31,2018-10-24 14:29:35,3.649s,PASSED
click,Firefox 60.0,,2018-10-24 14:29:35,2018-10-24 14:29:35,0.233s,PASSED
setText,Firefox 60.0,,2018-10-24 14:29:35,2018-10-24 14:29:35,0.209s,PASSED
delay,Firefox 60.0,,2018-10-24 14:29:35,2018-10-24 14:29:38,3.018s,PASSED
setText,Firefox 60.0,,2018-10-24 14:29:38,2018-10-24 14:29:38,0.284s,PASSED
delay,Firefox 60.0,,2018-10-24 14:29:38,2018-10-24 14:29:41,3.008s,PASSED
setText,Firefox 60.0,,2018-10-24 14:29:41,2018-10-24 14:29:42,0.305s,PASSED
delay,Firefox 60.0,,2018-10-24 14:29:42,2018-10-24 14:29:45,3.013s,PASSED
click,Firefox 60.0,,2018-10-24 14:29:45,2018-10-24 14:29:45,0.405s,PASSED
closeBrowser,Firefox 60.0,,2018-10-24 14:29:45,2018-10-24 14:29:46,0.537s,PASSED
